,Link_ID,Origin_ID,Destination_ID
759,1230,224,222
760,1231,31012,31011
761,1232,31011,31012
762,1233,31013,31012
763,1234,31012,31013
764,1235,31013,834
765,1236,834,31013
766,1237,3332,3333
767,1238,3333,3332
768,1241,4046,4045
769,1242,4045,4046
770,1243,170,2012
771,1244,2012,170
772,1245,2012,174
773,1246,174,2012
774,1247,731,738
775,1248,738,731
776,1253,4016,4014
777,1254,4014,4016
778,1255,170,785
779,1256,785,170
780,1257,1105,785
781,1258,785,1105
782,1259,785,2012
783,1260,2012,785
784,1261,784,710
785,1263,710,196
786,1264,196,710
787,1267,4016,3111
788,1268,3111,4016
789,1269,2861,3111
790,1270,3111,2861
791,1271,3111,3112
792,1272,3112,3111
793,1277,4000,3052
794,1278,3052,4000
795,1281,3052,3050
796,1282,3050,3052
797,1283,4000,4016
798,1284,4016,4000
799,1285,3480,3483
800,1286,3483,3480
801,1289,2881,3501
802,1290,3501,2881
803,1291,2509,2881
804,1292,2881,2509
805,1293,3905,3501
806,1294,3501,3905
807,1295,5002,3483
808,1296,3483,5002
809,1297,5262,5257
810,1298,5257,5262
811,1299,5257,5253
812,1300,5253,5257
813,1301,5291,5253
814,1302,5253,5291
815,1304,5273,5252
816,1305,1374,5235
817,1306,5235,1374
818,1307,3501,1099
819,1308,1099,3501
820,1309,1099,2880
821,1310,2880,1099
822,1311,5284,5279
823,1312,5279,5284
824,1313,5279,5002
825,1314,5002,5279
826,1315,5279,5235
827,1316,5235,5279
828,1321,429,451
829,1322,451,429
830,1323,455,492
831,1324,492,455
832,1325,1157,5269
833,1326,5269,1157
834,1327,4952,4951
835,1328,4951,4952
836,1329,2607,4951
837,1330,4951,2607
838,1333,3224,3216
839,1334,3216,3224
840,1337,4723,4722
841,1338,4722,4723
842,1339,4723,3010
843,1340,3010,4723
844,1341,3010,3012
845,1342,3012,3010
846,1343,3012,3016
847,1344,3016,3012
848,1345,4885,4883
849,1346,4883,4885
850,1353,31104,31015
851,1354,31015,31104
852,1355,31014,31015
853,1356,31015,31014
854,1357,4552,3395
855,1358,3395,4552
856,1361,4886,4885
857,1362,4885,4886
858,1365,4909,4831
859,1366,4831,4909
860,1367,3428,4831
861,1368,4831,3428
862,1371,2305,2310
863,1372,2310,2305
864,1373,4386,4391
865,1374,4391,4386
866,1375,4391,4711
867,1376,4711,4391
868,1377,4400,4387
869,1378,4387,4400
870,1379,4387,4388
871,1381,4386,4387
872,1382,4387,4386
873,1383,4387,4466
874,1384,4466,4387
875,1385,4465,4466
876,1386,4466,4465
877,1387,4386,4383
878,1388,4383,4386
879,1389,4384,4383
